,text
0,Astrology: I am a Capricorn Sun Cap moon and cap rising...what does that say about me?
1,How can I be a good geologist?
2,How do I read and find my YouTube comments?
3,What can make Physics easy to learn?
4,What was your first sexual experience like?
5,What would a Trump presidency mean for current international master’s students on an F1 visa?
6,What does manipulation mean?
7,Why are so many Quora users posting questions that are readily answered on Google?
8,Why do rockets look white?
9,How should I prepare for CA final law?
10,What are some special cares for someone with a nose that gets stuffy during the night?
11,What Game of Thrones villain would be the most likely to give you mercy?
12,How do we prepare for UPSC?
13,What are some examples of products that can be make from crude oil?
14,How do I make friends.
15,Is Career Launcher good for RBI Grade B preparation?
16,"Will a Blu Ray play on a regular DVD player? If so, how?"
17,What is the best/most memorable thing you've ever eaten and why?
18,I was suddenly logged off Gmail. I can't remember my Gmail password and just realized the recovery email is no longer alive. What can I do?
19,How is the new Harry Potter book 'Harry Potter and the Cursed Child'?
20,What is Java programming? How To Learn Java Programming Language ?
21,What is the best book ever made?
22,Can we ever store energy produced in lightning?
23,What is a narcissistic personality disorder?
24,How I can speak English fluently?
25,How helpful is QuickBooks' auto data recovery support phone number to recover your corrupted data files?
26,Who is the richest gambler of all time and how can I reach his level?
27,What is purpose of life?
28,What are some of the high salary income jobs in the field of biotechnology?
29,How can I increase my height after 21 also?
30,What is the step by step guide to invest in share market in india?
31,What is the story of Kohinoor (Koh-i-Noor) Diamond?
32,How can I increase the speed of my internet connection while using a VPN?
33,Why am I mentally very lonely? How can I solve it?
34,"Which one dissolve in water quikly sugar, salt, methane and carbon di oxide?"
35,Should I buy tiago?
36,When do you use シ instead of し?
37,Motorola (company): Can I hack my Charter Motorolla DCX3400?
38,Method to find separation of slits using fresnel biprism?
39,"What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Canada?"
40,Why do girls want to be friends with the guy they reject?
41,Which is the best digital marketing institution in banglore?
42,What's causing someone to be jealous?
43,What are the questions should not ask on Quora?
44,How much is 30 kV in HP?
0,"I'm a triple Capricorn (Sun, Moon and ascendant in Capricorn) What does this say about me?"
1,What should I do to be a great geologist?
2,How can I see all my Youtube comments?
3,How can you make physics easy to learn?
4,What was your first sexual experience?
5,How will a Trump presidency affect the students presently in US or planning to study in US?
6,What does manipulation means?
7,Why do people ask Quora questions which can be answered easily by Google?
8,Why are rockets and boosters painted white?
9,How one should know that he/she completely prepare for CA final exam?
10,How can I keep my nose from getting stuffy at night?
11,What Game of Thrones villain would you most like to be at the mercy of?
12,How do I prepare for civil service?
13,What are some of the products made from crude oil?
14,How to make friends ?
15,How is career launcher online program for RBI Grade B?
16,How can you play a Blu Ray DVD on a regular DVD player?
17,What is the most delicious dish you've ever eaten and why?
18,I can't remember my Gmail password or my recovery email. How can I recover my e-mail?
19,How bad is the new book by J.K Rowling?
20,How do I learn a computer language like java?
21,What is the most important book you have ever read?
22,Is it possible to store the energy of lightning?
23,What is narcissistic personality disorder?
24,How can I learn to speak English fluently?
25,What is the quickbooks customer support phone number USA?
26,Who is the richest gambler of all time and how can I reach his level as a gambler?
27,What's the purpose of life? What is life actually about?
28,What are some high paying jobs for a fresher with an M.Tech in biotechnology?
29,Can height increase after 25?
30,What is the step by step guide to invest in share market?
31,What would happen if the Indian government stole the Kohinoor (Koh-i-Noor) diamond back?
32,How can Internet speed be increased by hacking through DNS?
33,"Find the remainder when [math]23^{24}[/math] is divided by 24,23?"
34,Which fish would survive in salt water?
35,What keeps childern active and far from phone and video games?
36,"When do you use ""&"" instead of ""and""?"
37,How do I hack Motorola DCX3400 for free internet?
38,What are some of the things technicians can tell about the durability and reliability of Laptops and its components?
39,What are the laws to change your status from a student visa to a green card in the US? How do they compare to the immigration laws in Japan?
40,How do guys feel after rejecting a girl?
41,Which is the best digital marketing institute in Pune?
42,What can I do to avoid being jealous of someone?
43,Which question should I ask on Quora?
44,Where can I find a conversion chart for CC to horsepower?
